	Isoehist	Ophilusi	Ranupalu	Illevert	Rumebuce	Tubegutt	Fumaeric	Ericscop	Astelinu	Anagcras	Anagarve	Crastill	Sangmino	Aphamicr	Lotuparv	Ornicomp	Ornipinn	Scorverm	Trifcamp	Trifcher	Trifangu	Genitrid	Lythhyso	Myrtcomm	Euphexig	Linubien	Radilino	Cicefili	Exacpusi	Centmari	Echiplan	Stacarve	Lavastoe	Plancoro	Planserr	Planbell	Pinglusi	Solelaur	Galipari	Bellannu	Bellsylv	Puliodor	Logfgall	Evaxpygm	Chammixt	Hyporadi	Tolpbarb	Junctena	Junchybr	Junccapi	Juncbulb	Scirpseu	Eleomult	Careflac	Vulpmyur	Brizmaxi	Brizmino	Gaudfrag	Airacary	Gastvent	Anthovat	Bracdist	Asphaest	Urgimari	Romubulb	Seraparv	Allirose	Ornibrot	Linutenu	Scabatro	Scanpect	Trifglom	Eryndila
115	0	0	1	0	0	12	0	0	0	0	0	0	1	0	4	0	0	1	7	2	11	0	7	0	11	1	0	0	15	10	0	0	0	6	0	25	0	0	0	0	0	0	34	12	0	6	17	0	0	0	0	0	0	6	0	0	0	6	130	7	1	4	0	0	0	0	0	4	0	0	0	2	3
116	6	0	0	43	3	0	0	0	0	74	8	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	63	13	159	0	0	0	0	35	0	0	0	48	0	0	0	0	2	0	0	6	23	2	4	7	0	121	0	1	2	0	5	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	5	0	0	58	0	0	0	8	0	0	11	0	0	6	0	0	2	0	0	0	0	0	0	0	2	0	31	0	0	0	0	0	0	35	0	0	0	31	0	0	2	0	1	0	0	3	23	0	2	0	0	97	0	0	0	3	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	2	0	1	0	0	28	15	0	0	0	98	0	0	2	3	0	4	2	12	0	0	0	10	0	6	1	36	11	23	0	0	0	0	0	0	29	0	38	1	0	0	0	3	14	0	5	16	0	12	8	0	27	0	0	0	70	0	0	70	0	0	0	2	0	1	6	0	0	0	0	0	0	0
119	6	0	0	6	0	0	0	29	0	42	6	0	1	0	5	0	1	0	0	0	0	0	0	0	4	0	48	26	6	2	0	0	0	12	0	0	1	40	7	0	0	0	5	0	1	4	32	0	25	3	0	36	9	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	6	0	0	29	0	0	0	82	0	0	11	0	1	3	1	0	2	0	0	0	0	0	33	0	8	2	43	18	0	0	0	1	0	37	0	0	17	27	4	0	0	0	14	0	0	8	83	0	17	8	0	100	7	0	0	0	3	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	1	0	0	0	0	43	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	0	22	0	0	0	16	0	0	0	37	0	33	0	0	0	0	0	12	0	14	54	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	10	0	0	77	6	0	0	40	0	0	12	0	0	5	0	0	1	0	0	0	0	0	0	0	3	0	40	0	99	0	0	0	0	8	0	9	0	44	0	0	0	0	1	0	0	2	21	0	14	4	0	116	0	0	0	0	2	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	5	0	0	59	1	0	0	47	0	42	8	0	2	3	6	0	1	0	0	0	0	0	0	0	3	0	65	24	3	1	0	0	0	18	0	0	1	35	0	0	0	0	4	0	0	3	35	0	8	12	0	29	8	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	1	0	0	0	1	0	0	0	7	0	4	1	0	0	2	0	2	0	0	0	0	0	2	0	0	0	67	53	21	0	0	1	0	14	0	41	0	57	10	0	0	0	23	1	0	10	43	0	43	10	0	40	0	0	0	0	2	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	66	17	59	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	7	0	23	6	70	53	12	7	0	1	0	0	0	2	0	8	0	0	0	2	7	42	0	16	35	0	26	37	0	1	0	0	0	0	5	0	10	0	0	0	2	0	27	0	0	9	0	0	0	0	0
126	11	0	104	0	1	0	0	0	0	0	79	0	0	0	27	0	9	1	0	0	0	0	4	0	22	1	4	3	4	8	0	2	0	3	0	2	0	0	0	0	0	0	27	0	25	15	65	0	13	30	0	10	0	1	4	1	0	0	55	0	5	0	0	0	22	1	0	9	2	0	0	0	0
127	17	13	20	0	0	4	0	0	0	0	0	0	1	0	12	0	6	1	16	0	5	0	12	0	17	1	1	13	14	15	0	3	0	7	0	52	0	5	4	0	0	3	27	31	0	31	31	0	14	5	0	10	0	2	11	1	0	0	10	0	3	0	0	1	30	0	0	28	0	1	0	0	3
128	0	0	0	0	3	13	0	0	0	0	71	0	0	0	2	0	4	7	4	1	0	0	9	0	6	2	66	4	3	2	0	0	0	0	0	1	0	46	0	1	0	1	4	17	0	5	20	2	26	15	0	18	0	10	3	4	0	0	76	0	1	0	2	0	11	81	0	0	0	0	0	0	0
129	14	0	0	1	0	0	0	4	11	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	66	37	16	0	0	1	0	16	0	43	0	50	11	0	0	0	32	1	0	10	40	0	55	5	0	25	0	0	0	0	0	0	73	0	3	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																									
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
